"Subject_ID" "Activity_labels" "MeanOfVar_Mean" "MeanOfVar_sd"
11 "STANDING" -0.619245181615806 0.763129224783706
11 "WALKING" -0.409730310483365 0.680001352821155
11 "WALKING_DOWNSTAIRS" -0.32370479381609 0.688958407097937
11 "WALKING_UPSTAIRS" -0.4118382353909 0.69689526704885
12 "LAYING" -0.597442333192593 0.798862288788036
12 "SITTING" -0.607189126915696 0.772028806179585
12 "STANDING" -0.596811632662348 0.786042161627712
12 "WALKING" -0.332288925038174 0.700003722588896
12 "WALKING_DOWNSTAIRS" -0.284746718653666 0.718863190133543
12 "WALKING_UPSTAIRS" -0.396615737086211 0.716432388988412
13 "LAYING" -0.589911563964277 0.843451378614419
13 "SITTING" -0.607282598791745 0.812871706691905
13 "STANDING" -0.606625970934477 0.818854462842668
13 "WALKING" -0.292004654086078 0.727362299241949
13 "WALKING_DOWNSTAIRS" -0.288725244137825 0.739914458522505
13 "WALKING_UPSTAIRS" -0.384618767576012 0.748217824815184
14 "LAYING" -0.592065466980841 0.858008748234798
14 "SITTING" -0.607261839137774 0.833678670587645
14 "STANDING" -0.599334770067614 0.84573074269786
14 "WALKING" -0.358609400612678 0.762306026182856
14 "WALKING_DOWNSTAIRS" -0.173289483724748 0.775038040469981
14 "WALKING_UPSTAIRS" -0.256975566523605 0.795233791812757
15 "LAYING" -0.601893098524778 0.889983318257729
15 "SITTING" -0.607032529016555 0.870950681398591
15 "STANDING" -0.603807338209517 0.878103548330213
15 "WALKING" -0.361849010101817 0.80268801400281
15 "WALKING_DOWNSTAIRS" -0.248198807694703 0.813379187099754
15 "WALKING_UPSTAIRS" -0.363251991051504 0.813045864471976
16 "LAYING" -0.596116653166939 0.926951804341451
16 "SITTING" -0.606023622056399 0.905377061916378
16 "STANDING" -0.608525887981378 0.912824863242769
16 "WALKING" -0.400837293710236 0.84210627326741
16 "WALKING_DOWNSTAIRS" -0.305195082041534 0.850244337501826
16 "WALKING_UPSTAIRS" -0.407790294565878 0.851035854136094
17 "LAYING" -0.588310412944099 0.960856567900129
17 "SITTING" -0.605688944006253 0.942158614066047
17 "STANDING" -0.604876613804494 0.948522542934182
17 "WALKING" -0.35480690468813 0.872315303361107
17 "WALKING_DOWNSTAIRS" -0.329480482273338 0.887156924060517
17 "WALKING_UPSTAIRS" -0.36735871068802 0.881029099905933
18 "LAYING" -0.60167624597569 0.992110940527183
18 "SITTING" -0.610430686604741 0.968962065718847
18 "STANDING" -0.603940061082867 0.976262975115651
18 "WALKING" -0.402209247548554 0.91121200647403
18 "WALKING_DOWNSTAIRS" -0.401029960042382 0.926128491968142
18 "WALKING_UPSTAIRS" -0.434729016756491 0.924666782107112
19 "LAYING" -0.587874048852284 1.0287550768036
19 "SITTING" -0.597411655231143 1.00180889183565
19 "STANDING" -0.596788006048104 1.01034531267766
19 "WALKING" -0.202729082656871 0.923917714222792
19 "WALKING_DOWNSTAIRS" -0.0394885718780297 0.951824483304647
19 "WALKING_UPSTAIRS" -0.279321648018082 0.938396293376156
20 "LAYING" -0.597413649450483 1.05627923056753
20 "SITTING" -0.596524278254458 1.03467871379479
20 "STANDING" -0.574935292962307 1.04046579732655
20 "WALKING" -0.222174827443436 0.969989196324316
20 "WALKING_DOWNSTAIRS" -0.206331542210208 0.983732463299373
20 "WALKING_UPSTAIRS" -0.298992664539887 0.980280419656886
21 "LAYING" -0.58242587601387 1.09608808077157
21 "SITTING" -0.599587153567834 1.07372662642562
21 "STANDING" -0.591543634220842 1.07885566830391
21 "WALKING" -0.291411223719761 1.01168973248066
21 "WALKING_DOWNSTAIRS" -0.248615425929608 1.02415602778659
21 "WALKING_UPSTAIRS" -0.340833959003782 1.02207419309825
22 "LAYING" -0.581660417141126 1.12692354043737
22 "SITTING" -0.587110917260601 1.10827509674599
22 "STANDING" -0.587314268449765 1.11549777930061
22 "WALKING" -0.233284018438168 1.04614865507995
22 "WALKING_DOWNSTAIRS" -0.243175147092505 1.06203684409016
22 "WALKING_UPSTAIRS" -0.262379838290331 1.05426791992095
23 "LAYING" -0.575858065289937 1.17072468519513
23 "SITTING" -0.584161169991469 1.14986018190605
23 "STANDING" -0.586563092572589 1.15228560354847
23 "WALKING" -0.222606176419522 1.08553258216267
23 "WALKING_DOWNSTAIRS" -0.15635776834373 1.08739121203244
23 "WALKING_UPSTAIRS" -0.324884540094134 1.09389107294328
24 "LAYING" -0.580179627965366 1.2025900893055
24 "SITTING" -0.596133475612591 1.17982242375694
24 "STANDING" -0.581963851119441 1.18984787530867
24 "WALKING" -0.372242089127707 1.1337609450095
24 "WALKING_DOWNSTAIRS" -0.310917922975119 1.13832296456407
24 "WALKING_UPSTAIRS" -0.389279644216093 1.13759300738484
25 "LAYING" -0.53374386064927 1.2388231705966
25 "SITTING" -0.593053435573171 1.22016837530259
25 "STANDING" -0.591263637140507 1.22511111421283
25 "WALKING" -0.414255201640579 1.17744243420938
25 "WALKING_DOWNSTAIRS" -0.379855736608872 1.18248020809103
25 "WALKING_UPSTAIRS" -0.437100281607364 1.18558955265101
26 "LAYING" -0.583083742140156 1.27793956456613
26 "SITTING" -0.58865360682414 1.25925255742707
26 "STANDING" -0.588198715393554 1.26458169877866
26 "WALKING" -0.343765438280972 1.20634527855038
26 "WALKING_DOWNSTAIRS" -0.270794852065945 1.21106567042621
26 "WALKING_UPSTAIRS" -0.361603420533523 1.21572654649051
27 "LAYING" -0.586613058648154 1.31306618907866
27 "SITTING" -0.591505279317067 1.29542566207243
27 "STANDING" -0.586767619118975 1.30268954772031
27 "WALKING" -0.327769631904326 1.24601464266713
27 "WALKING_DOWNSTAIRS" -0.259038830963108 1.25205739089066
27 "WALKING_UPSTAIRS" -0.37438004703864 1.25756859945197
28 "LAYING" -0.579371725936646 1.3468026226657
28 "SITTING" -0.579741841643334 1.32887171122657
28 "STANDING" -0.568541729905666 1.33385642426498
28 "WALKING" -0.341985548776265 1.28563526024705
28 "WALKING_DOWNSTAIRS" -0.236494277666474 1.28573643360826
28 "WALKING_UPSTAIRS" -0.347464697033383 1.29050469148891
29 "LAYING" -0.583408276240838 1.3912581912346
29 "SITTING" -0.584728979824429 1.37403501622626
29 "STANDING" -0.589084637920045 1.3792742150903
29 "WALKING" -0.299370219158142 1.32038272279307
29 "WALKING_DOWNSTAIRS" -0.260280367041568 1.32747109262651
29 "WALKING_UPSTAIRS" -0.309093436495854 1.33225035201959
30 "LAYING" -0.577924956233144 1.42217599374975
30 "SITTING" -0.584847649554893 1.4097293096932
30 "STANDING" -0.567728829224441 1.4135033311346
30 "WALKING" -0.318274426678149 1.36046143750515
30 "WALKING_DOWNSTAIRS" -0.299937227232417 1.3677981644327
30 "WALKING_UPSTAIRS" -0.38213237593905 1.37619466085045
